sentence,true_label,predicted_label
" By the authority vested in me as President by the Constitution and laws of the United States of America, and in order to ensure effective and efficient spending of public funds through fundamental reforms in Government procurement, it is hereby ordered as follows:.",1,20
"And, as some of the other programs, that is a case of how you direct the administering of the programs, such as aid to small business.",20,15
"Mr President, let us make the forthcoming anniversary the start of a period of particularly close, intensive, and fruitful German-American cooperation.",10,19
"I believe that by directing the highest possible percentage of Federal funds toward actual training and by emphasizing the roles of the States and the private sector, we can give participants the best chance of securing lasting, productive jobs in the private sector.",15,5
"There are, however, many things we can do to protect our eyes and prevent visual loss or impairment.",3,16
"Now, these are hard economic facts which are hard to take, because they show massive amounts of government aid and intervention have failed to produce the desired results.",20,1
We managed in less than 1 year to substantially slow the momentum of decades of growth in government.,20,1
The efforts of you at this conference also show what can be done when concerned people in businesses join in partnership with government.,15,20
I called them prisoners of war.,19,16
"Some 70 cents on every Federal dollar is to be spent on training, and 30 cents will be spent on support services and administrative costs.",5,20
American churches demonstrated this as they rushed forward to aid the throng of refugees entering this country after the Vietnam tragedy.,19,9
The all-important goal now is to enact an extension of the law as quickly as possible so that we can put it into effect and assure all of our citizens that we are committed to protecting their most sacred rights.,20,2
"When capital investment is made, it's too often for some unproductive alterations demanded by government to meet various of its regulations.",15,20
"There is no way, as long as Saudi Arabia and the OPEC nations there in the East and Saudi Arabia's the most important provide the bulk of the energy that is needed to turn the wheels of industry in the Western World, there's no way that we could stand by and see that taken over by anyone that would shut off that oil.",8,19
"They hurt everyone people who must borrow, families who want to buy a new home, businesses struggling to get ahead.",14,15
And that buildup is obviously aimed at the nations in the alliance.,19,16
The uncertainty these service families live with day-to-day surely touches the heart of every American.,19,5
"One of the sections here is in regards to welfare, and they're quoting you as saying that one of the major reasons for keeping welfare at the Federal level is the likelihood that differing benefit levels among the States was based on a court ruling handed down while you were Governor of California.",13,20
"""Section 10  Pursuant to Section 202(a)(2)(B) and (a)(3)(B) of the Act (22 USC 3922(a)(2)(B), (a)(3)(B)), it is hereby determined to be necessary, in order to enable the Department of Agriculture and the Department of Commerce to carry out functions which require service abroad, for the respective Secretaries, in consultation with the Office of Personnel Management and the Office of Management and Budget, to be able to utilize the Foreign Service personnel system with respect to personnel of the following:.",20,4
"With the passing of each year, it becomes increasingly evident that, in the words of Chief Justice John Marshall, our Constitution will ""endure for ages to come"".",20,12
Regulations that inhibit our growth and prosperity would be incomprehensible to the colonists who revolted because of the Stamp Act.,20,1
"The task force that Ed Meese has together with Dave Stockman and Malcolm Baldrige and Sam Pierce working on the details of the community development support program for, hopefully, as soon as possible, to pass on to the President that has been discussed with respect to the economic development grants and, in fact, met with the mayor of San Juan with respect to a particular problem they had just last week, and we're attempting to get a resolution.",14,1
"(a) In the case of classified information transferred in conjunction with a transfer of functions, and not merely for storage purposes, the receiving agency shall be deemed to be the originating agency for purposes of this Order.",2,7
"It remains a unifying memory for millions of our citizens.. Our goal is to restore Ellis Island in time for the celebration of the centennial of the Statue of Liberty, beginning on July 4th, 1984  I might add one.",9,19
"He had been orphaned at age 6  But now I've learned that his grandfather, my great-grandfather, left Ireland to come to America, leaving his home in Ballyporeen, a village in County Tipperary in Ireland, and I have learned that Ballyporeen is the ancestral home of the O'Briens.",9,19
"According to the terms of the proposed agreement with the Bank, the ESF will provide credit facilities to the Bank in an amount of $600 million for a term of three months, with a possibility of three threemonth renewals, to expire no later than August 23, 1983  The Bank's obligations under the agreement will be unconditionally guaranteed by the Government of Mexico.",15,19
"(a) The Office of Management and Budget will provide policy guidance to the Councils in consultation with the White House Office of Policy Development; establish policy with respect to Federal Regional Council procedural matters; respond to Council initiatives; seek to resolve policy issues referred to it by the Councils; coordinate Federal Regional Council activities relating to State and local governments with the White House Office of Intergovernmental Affairs; and, coordinate Council activities relating to specific programmatic areas with the appropriate Federal agencies.",1,20
"We found that there had grown up a maze of stifling regulations, which began to crush initiative and deaden the dynamic industrial innovation which brought us to where we are.",20,15
"In keeping with your commitment to the American people to reduce waste and inefficiency, I'm happy to announce today our initial results at the Agency for International Development.",19,20
"This plan will involve a combination of key officials and organizations, coordinating mechanisms, and priority projects operating under active OMB leadership on my behalf.",1,20
"(5) review requests for original classification authority from agencies or officials not granted original classification authority and, if deemed appropriate, recommend presidential approval;.",2,20
"While we were going to reduce impacted aid in those areas where see, impacted aid is for, like a military base, where the people are not taxpayers, not property owners, where they come in temporarily and their children then are put as an added burden on the local system.",13,16
"Then we talked of the other summit meeting that will take place a few days afterwards in Bonn, which will be the summit meeting of the Atlantic Alliance.",19,16
And what you want is a guaranteed loan or a direct loan from ASC CCC loan of some kind.,4,15
"Individual farmers, laborers, owners, traders, and managers they are the heart and soul of development.",1,4
"They dictate how much more of every extra dollar you get whether from a pay raise or interest on savings or income from your profession, shop, or whatever must go to government.",1,20
"Under our agreement with the Government of Lebanon, these United States military personnel will assist the Government of Lebanon in carrying out its responsibilities concerning the withdrawal of Palestinian personnel under safe and orderly conditions.",16,19
"So, fewer than 1 out of 11 families can afford to buy their first new home.",14,15
"From the old raising-of-the-barn when someone's barn went up in flames, in the farm days, to every kind of activity in recent days, more modern times, I remember-now that government has gotten so greatly involved, and with the best of intentions I don't fault their intentions but we know, and you know better than anyone else with what you're doing, that if you take the various ways of helping people, the one with the least overhead is the private effort; next is the community or local effort if it is a public effort, but the highest of all is the Federal Government.",20,4
"In their debates with the principles of human dignity, individual rights, and representative democracy, their arguments were based on common law, separation of powers, and limited government.",20,2
"Mr President, in light of what appears to be a growing concern about the drug abuse problem, especially among teenagers, what will your priorities be and specifically, do you expect to have a White House policy on drug abuse?.",3,12
"Our purpose is to provide, within a system of laws, the ultimate in dignity and individual opportunity to every American, without exception.",12,20
"The recent summit at Versailles proved once again, as I told the British Parliament, that even in times of severe economic strain, free peoples can work together freely and voluntarily to address problems as serious as inflation, unemployment, trade, and economic development in a spirit of cooperation and solidarity.",19,1
Now Mr Watt in a letter to Congress suggests that American troops might have to fight in the Middle East if there's any interference with the vast new offshore oil drilling.,16,8
"But we're not just giving our men and women in uniform the better pay they deserve, we're also providing them the training and equipment they weren't getting before.",16,2
"These ships and the goods they deliver have traveled great journeys, often, as we know, through stormy seas, to bring commerce, jobs, and well-being to our country and our people.",10,1
" I am withholding my approval of House Resolution 4353, to amend the Act entitled ""An Act to Establish a Uniform Law on the Subject of Bankruptcies"".",15,12
We have a right to be proud of our contributions to the economic strength of these industrial democracies.,19,1
Only skeptics of the free market system are surprised by the results.,1,15
"Air Force men gave their money and their own labor to 1,218 schools, medical facilities, and orphanages.",16,3
" By the authority vested in me as President by the Constitution and laws of the United States of America, including Sections 3301 and 3302 of Title 5 of the United States Code, and in order to provide for the recruitment and selection of outstanding employees for careers in public sector management, it is hereby ordered as follows:.",20,15
"The Occupational Safety and Health Act, the National Environmental Protection Act, the Employee Retirement Income Security Act, and others, have served important national objectives but have also introduced distortions in the operations of the free market, impeded competition, and increased costs of the regulated businesses.",5,3
"I can say that in our State of Missouri, as one of the States that will be participating in this pilot project with the National Development Council, we believe that we can use the resources that this will make available to help us in implementing new financing programs to provide jobs.",1,5
"They doubled the food budget to $6,000, saved $47,000, and ended up feeding twice as many people.",4,1
"So, do you favor using Barnwell in a federally funded or a privately funded nuclear-fuel reprocessing facility?.",16,8
"For the sake of every citizen who wants and needs a job, I ask the Congress to work with us on initiatives that will move America forward, not backward.",1,20
"(3) Delegating authority to the various departments and agencies for research, development, procurement, and operation of designated means of collection.",20,17
"The other day, the Security Savings and Loan of Milwaukee, Wisconsin, made $100 million available for home mortgages at 11 9 percent interest.",14,15
" By the authority vested in me as President of the United States of America, and in order to effectuate the provisions of Section 303 of Public Law 97-241 (96 Statute 273), which changed the name of the International Communication Agency back to its original name of the United States Information Agency, it is hereby ordered as follows:.",19,17
Democracies tend to be more stable because they represent a broader spectrum of national opinion.,20,19
"Now, these are unprecedented cuts to meet an unprecedented situation, and they mark the end of an old era and the beginning of a new one.",20,1
"(b) The members of the Board shall be the Counsellor to the President; Director, Office of Management and Budget; Chairman, Council of Economic Advisers; Assistant to the President for Policy Development; Chief of Staff and Assistant to the President; Assistant to the President for National Security Affairs; and such other officers or employees of the Executive branch as the President may from time to time designate.",16,1
"In this regard, their compromise would greatly strengthen the safeguards against proportional representation while also protecting the basic right to vote.",2,20
"Each day as you go into your offices, remember, we came to this place to pare the unmanageable size of government, to reduce its massive bulk, its powers, and its waste, to free our people and our economy from its oppressive hand.",20,1
"Those young people couldn't get their appendix taken out without their parents' permission, a number of other things in which the parents have I think the government has no business injecting itself between parent and child in a family relationship where it is very definitely a problem of concern to parents who are responsible for the children.",12,13
We are convinced that these reforms can be accomplished without jeopardizing the safety and consumer goals and policies that you have established.,15,1
Economic and social advancement linked to financial collaboration between peoples remains an apt goal for the renewed efforts of the statesmen of the world.,18,1
" I have today announced that beginning November 1, a new market-based interest rate formula will be effective for Series EE United States Savings Bonds.",1,15
And what has to be negotiated out is a kind of exchange of territory for security.,16,19
"First, I've asked for a substantial reduction in the growth of Federal expenditures.",1,20
It asks the Federal Government to pay the settlement share of the mining companies and other local water users whose share should more properly be borne by the defendants themselves.,8,15
"The average worker's wage will rise in real purchasing power 8 percent, and this is in after-tax dollars.",5,1
"He's a professor of business at Brigham Young University, former speaker of the Utah Legislature, and most important, he was chairman of the budget audit committee.",20,1
(a) Overtly collect foreign financial and monetary information;.,1,19
"Because it's based on volunteer effort rather than paid bureaucracy, it is amazingly more efficient.",13,20
"The worker finds that it's not worthwhile to put in for overtime or try to upgrade him or herself, so productivity drops and we become less competitive in the world market.",5,1
"To ensure efficiency and safety, nuclear waste legislation should require title transfer to the Federal Government, at a date certain, of vitrified high-level waste at the receiving facility.",7,8
We must all communicate clearly and sincerely through our actions our intention to preserve a measure of security for Historically Black Colleges and Universities while we work together toward developing strength through independence and institutional self-sufficiency.,2,6
"We intend to handcuff big spenders, get the Federal Government off your backs, promote recovery, and put you, the people, back in charge of your country again.",20,1
provided that official has been delegated original Secret classification authority by the agency head.,2,16
"For several years we have been engaged in cooperative efforts to help improve the enforcement and interdiction efforts within Colombia against cocaine, marijuana, and other drugs.",19,12
"Ron has been very helpful to me during the consideration of our agricultural, defense, and economic policies.",1,4
"These things that are publicly discussed still remain the foundation for our concepts of social justice, our political system, our very way of life.",20,13
Real wages are up.,1,5
"Our Jewish citizens have served America by fighting for her freedom, building her industry, striving for her goals, and nurturing her dreams.",16,2
"The third was published on June 10, 1982  It is a directive license to the New York Federal Reserve Bank to deduct two percent of award amounts it receives from the security account for payment to United States claimants who have received awards from the Iran-United States Claims Tribunal.",1,19
"This administration is unalterably opposed to the forced busing of schoolchildren, just as we also support constitutional protection for the right of prayer in our schools.",6,2
"Section 11  Executive Order No11 29, as amended, establishing the Hopi-Navajo Land Settlement Interagency Committee, is revoked.",21,20
"We can gain that peace by strengthening our alliances, by speaking candidly of the dangers before us, by assuring potential adversaries of our seriousness, by actively pursuing every chance of honest and fruitful negotiation.",16,19
"The one that we proposed last year, believe it or not, would have made the program solvent, and that was one which simply changed for a brief period-or added a brief period of time to early retirement.",13,15
This agreement is one of a series to be renegotiated in accordance with that legislation to replace existing bilateral fishery agreements scheduled to expire this year.,4,19
"So, we often hear that as a criticism of the ethanol alcohol industry.",15,8
" By Proclamation No 4807 of December 4, 1980, the quantity of certain peanuts permitted entry into the customs territory of the United States during a quota year was increased 200 million pounds on a temporary and emergency basis.",8,18
"Now, thus, new investors will be able to enter the market knowing that their products will receive duty-free treatment for at least the payoff lifetime of their investments.",18,15
"We must acknowledge also the example they have provided to those blinded veterans whose equally catastrophic disability occurred after their separations from military service, and to other blinded Americans.",3,16
"(c) The special allocation of middle distillates for surface passenger mass transportation (Special Rule 9, 10 CFR Part 211, Subpart A, Appendix A) shall remain in effect until March 31, 1981.",8,10
But we can't deny that the Israelis have been taking casualties from those cease-fire violations themselves.,19,16
"He was also opposed to compulsory unionism, incidentally.",5,19
We're living with a social security payroll tax that was increased a short time ago and which is scheduled to automatically increase several times over the next 5 years.,13,1
(e) regulations issued by the Internal Revenue Service.,1,20
"In addition to Secretary Of State Shultz, I have with me Treasury Secretary Regan and our Trade Representative, Ambassador Brock, and other leaders of our government.",1,18
"First, the Executive order commits us to increase black college participation in federally sponsored programs.",2,6
And you could cite all sorts of figures of the increase in investment in tax-free municipal bonds and the reduction in industrial stocks that have taken place in America.,15,1
The President and the Chancellor agreed that protectionism is to be rejected and stated their resolve to work for a maximum degree of freedom in international trade.,19,18
"In fact, Jay Moorhead, who runs the White House Office on the Private Sector Initiative, and Bill Verity are going to report soon to the Cabinet on how the Federal departments and the agencies can become more creative in leveraging public sector funds to the private sector.",20,15
"The industrialized democracies of Western Europe, Canada, and Japan have established strong national programs in science and technology.",17,19
